TCP,text_name,EEBO,VID,STC,ESTC,Status,Author,Author 2,Author 3,Author 4,Translator,Date,Date Corrections,Title,Form,Genre,Network,Notes,Pages,Simplified Title,Subgenre,BigNamesSubgenre,Terms,SuperScience,BigNamesScience
A00291,A00291.headed.txt,99845614,10523,STC 10410; ESTC S109988,S109988,Restricted,L. W. C.,,,,,1639,,"The English farrier, or, Countrey-mans treasure Shewing approved remedies to cure all diseases, hurts, maimes, maladies, and griefes in horses: and how to know the severall diseases that breed in them; with a description of every veine; how, and when to let them blood, according to the nature of their diseases. With directions to know the severall ages of them. Faithfully set forth according to art and approved experiment, for the benefit of gentlemen, farmers, inholders, husbandmen, and generall for all.; Verie perfect discourse, and order how to know the age of a horse, and the diseases that breede in him, with the remedies to cure the same",,Med-Specific Treatise,,,64,,Animals,,Horses -- Diseases -- Early works to 1800.; Horses -- Age -- Early works to 1800.,TRUE,FALSE
A00354,A00354.headed.txt,99841256,5825,STC 10473.5; ESTC S105528,S105528,Free,"Erasmus, Desiderius, d. 1536.",,,,,1537,,"Declamatio in laudem nobilissimÃ_ artis medicinÃ_. = A declamacion in the prayse and co[m]me[n]dation of the most hygh and excellent science of phisyke, made by the ryght famous clerke doctour Erasmus of Rotherdam, and newly translated out of Latyn into Englyshe. Cum priuilegio regali; De laude medicinae. English",,Med-General Treatise,,,48,,,,Medicine -- Early works to 1800.,TRUE,FALSE
A00425,A00425.headed.txt,99844143,8932,STC 10558.5; ESTC S108485,S108485,Restricted,"Etten, Hendrik van.; Leurechon, Jean, 1591-1670, attributed name.; Malthus, Francis, attributed name.; Oughtred, William, 1575-1660, attributed name.",,,,,1633,,"Mathematicall recreations. Or a collection of sundrie problemes, extracted out of the ancient and moderne philosophers, as secrets in nature, and experiments in arithmeticke, geometrie, cosmographie, horolographie, astronomie, navigation, musicke, opticks, architecture, staticke, machanicks, chimestrie, waterworkes, fireworks, &c. ... Most of which were written first in Greeke and Latine, lately compiled in French, by Henry Van Etten Gent. And now delivered in the English tongue, with the examinations, corrections, and augmentations; RÃ©crÃ©ation mathÃ©maticque. English",,Natural History,,,312,,Earth Sciences,,Science -- Early works to 1800.; Scientific recreations -- Early works to 1800.; Fireworks -- Early works to 1800.,TRUE,FALSE
A00429,A00429.headed.txt,99842412,7062,STC 10560; ESTC S106699,S106699,Free,"Euclid.; Dee, John, 1527-1608.; Candale, FranÃ§ois de Foix, comte de, 1502-1594.; Billingsley, Henry, Sir, d. 1606.",,,,,1570,,"The elements of geometrie of the most auncient philosopher Euclide of Megara. Faithfully (now first) translated into the Englishe toung, by H. Billingsley, citizen of London. Whereunto are annexed certaine scholies, annotations, and inuentions, of the best mathematiciens, both of time past, and in this our age. With a very fruitfull prÃ_face made by M. I. Dee, specifying the chiefe mathematicall scie[n]ces, what they are, and wherunto commodious: where, also, are disclosed certaine new secrets mathematicall and mechanicall, vntill these our daies, greatly missed; Elements. English",,Mathematics,Platonism,,884,,Geometry,Mathematics,Geometry -- Early works to 1800.,TRUE,TRUE
A00453,A00453.headed.txt,99855699,21201,STC 10587; ESTC S120503,S120503,Restricted,"Evans, John, minister of Gods word.",,,,,1634,,"The vniversall medicine: or The vertues of the antimoniall cup Collected out of the experiments, and observations of the most famous, learned, and best approved philosophers, and physicians, that have written of that subject. By Iohn Evans minister, and preacher of Gods Word.",,Med-Specific Treatise,,,18,,Substances,,Antimony -- Therapeutic use -- Early works to 1800.; Medicine -- Early works to 1800.,TRUE,FALSE
A00462,A00462.headed.txt,99849847,15019,STC 10599; ESTC S114622,S114622,Free,"Everard, John, 1575?-1650?",,,,,1622,,"Somewhat vvritten by occasion of three sunnes seene at Tregnie in Cornewall, the 22. of December last. With other memorable occurents in other places.",,Astrology,Occultism,,26,,,,"Marvelous, The -- Early works to 1800.",TRUE,FALSE
A00472,A00472.headed.txt,99837603,1935,STC 10607; ESTC S101800,S101800,Free,"Ewich, Johann von, 1525-1588.; Stockwood, John, d. 1610.",,,,,1583,,"The duetie of a faithfull and wise magistrate, in preseruing and deliuering of the eommon [sic] wealth from infection, in the time of the plague or pestilence two bookes. Written in Latine by Iohn Ewich, ordinary phisition of the woorthie common wealth of Breame, and newlie turned into English by Iohn Stockwood schoolemaister of Tunbridge. ...; De officio fidelis et prudentis magistratus tempore pestilentiae rempublican a contagio praeservandi liberandique. English",,Med-Specific Treatise,,,274,,Plague,,Plague -- Government policy -- Early works to 1800.,TRUE,FALSE
A00508,A00508.headed.txt,99840185,4661,STC 1064; ESTC S104447,S104447,Free,"Bostocke, Richard.; Bostocke, Robert, attributed name.",,,,,1585,,"The difference betwene the auncient phisicke, first taught by the godly forefathers, consisting in vnitie peace and concord: and the latter phisicke proceeding from idolaters, ethnickes, and heathen: as Gallen, and such other consisting in dualitie, discorde, and contrarietie And wherein the naturall philosophie of Aristotle doth differ from the trueth of Gods worde, and is iniurious to Christianitie and sounde doctrine. By R.B. Esquire.",,Med-General Treatise,Aristotelian Tradition,,182,,,,"Aristotle -- Early works to 1800.; Medicine -- Religious aspects -- Early works to 1800.; Medicine, Ancient -- Early works to 1800.",TRUE,FALSE
A00515,A00515.headed.txt,99839231,3634,STC 10650; ESTC S103478,S103478,Restricted,"N. F., fl. 1604.",,,,,1604,,"The fruiterers secrets Containing directions, for the due time, and manner, of gathering all kindes of fruite, aswell stone-fruite as other: and how they are afterwards to be ordered in packing, carrying and conueighing them by land or by water; then in separating or culling them into diuers sorts; and lastly, in resruing or laying them vp, so, as may bee for their best lasting and continuance. Enterlaced with diuerse other secrets (and their naturall causes) touching trees, and their fruite. No treatise, to this purpose, being heretofore published.",,Natural History,,,33,,Earth Sciences,,Fruit -- England -- Harvesting -- Early works to 1800.; Fruit -- Transportation -- Early works to 1800.; Fruit -- Storage -- Early works to 1800.,TRUE,FALSE
A00527,A00527.headed.txt,99849909,15082,STC 10665; ESTC S114685,S114685,Free,"Fage, John, student in phisicke.",,,,,1606,,"Speculum Ã_grotorum. The sicke-mens glasse or, A plaine introduction wherby one may giue a true, and infallible iudgement, of the life or death of a sicke bodie, the originall cause of the griefe, how he is tormented and afflicted, what thinges are medicinable to the diseased person: and the day and houre in which he shall recouer, or surrender his vitall breath. Whereunto is annexed a treatise of the foure humors, and how they are ingendered and distributed in our humane bodies: with certaine and manifest signes to discerne of what complexion any man is: and the operation that eating, drinking rest and exercise, worketh in euery person: with certaine speciall preseruatiues for the eye-sight. Composed by Iohn Fage, student in phisicke, and practitioner in astrologie.",,Med-Specific Treatise,Occultism,,72,,Treatments,,Medicine -- Early works to 1800.; Astrology -- Early works to 1800.,TRUE,FALSE
A00538,A00538.headed.txt,99837628,1964,STC 10678; ESTC S101825,S101825,Free,"Fale, Thomas, fl. 1604.; Hondius, Jodocus, 1563-1612, ill.",,,,,1593,,"Horologiographia The art of dialling: teaching an easie and perfect way to make all kinds of dials vpon any plaine plat howsoeuer placed: vvith the drawing of the twelue signes, and houres vnequall in them all. Whereunto is annexed the making and vse of other dials and instruments, whereby the houre of the day and night is knowne. Of speciall vse and delight not onely for students of the arts mathematicall, but also for diuers artificers, architects, surueyours of buildings, free-Masons and others. By T. Fale.",,Mathematics,,,140,,Instruments,,Dialing -- Early works to 1800.,TRUE,FALSE
A00689,A00689.headed.txt,99841316,5891,STC 10823; ESTC S105589,S105589,Free,"Enciso, Martin FernÃ¡ndez de, d. 1525.; Frampton, John, fl. 1577-1596.",,,,,1578,,"A briefe description of the portes, creekes, bayes, and hauens, of the Weast India: translated out of the Castlin tongue by I.F. The originall whereof was directed to the mightie Prince Don Charles, King of Castile, &c.; Suma de geographia que trata de todas las particlas & provinces del mundo: en especial de las Indias. English",,Geography,,,34,,,,America -- Early accounts to 1600.,TRUE,FALSE
A00695,A00695.headed.txt,99837865,2212,STC 10829; ESTC S102065,S102065,Free,"Ferrand, Jacques, mÃ©decin.; Chilmead, Edmund, 1610-1654.",,,,,1640,,"ErÅçtomania or A treatise discoursing of the essence, causes, symptomes, prognosticks, and cure of love, or erotique melancholy. Written by Iames Ferrand Dr. of Physick; TraitÃ© de l'essence et guÃ©rison de l'amour. English",,Med-Specific Treatise,,,420,,Psychology,,Love -- Early works to 1800.; Melancholy -- Early works to 1800.,TRUE,FALSE
A00700,A00700.headed.txt,99837853,2200,STC 10833; ESTC S102052,S102052,Free,"Ferrier, Auger, 1513-1588.; Kelway, Thomas.",,,,,1593,,"A learned astronomical discourse, of the iudgement of natiuities Deuided into three bookes, and dedicated first to Katherin the French Queene, by Oger Ferrier her physition. Translated by Thomas Kelway Gentleman.; Jugemens astronomiques sur les nativitÃ©s. English",,Astrology,Occultism,,126,,,,Astrology -- Early works to 1800.,TRUE,FALSE
A00750,A00750.headed.txt,99843120,7830,STC 10878.7; ESTC S107419,S107419,Free,"Fine, Oronce, 1494-1555.; Baker, Humfrey, fl. 1557-1587.",,,,,1558,,"The rules and righte ample documentes, touchinge the vse and practise of the common almanackes, which are named ephemerides A briefe and shorte introduction vpon the iudiciall astrologie, for to prognosticate of thinges to come, by the helpe of the sayde ephemerides. With a treatise added hereunto, touchinge the coniunction of the planets, in euery one of the. 12. signes, and of their prognostications and reuolutions of yeres. The hole faithfully, and clerely translated into Englyshe by Humfrey Baker.; Canons & documents tresamples, touchant l'usage & practique des communs almanachz, que l'on nomme ephemerides. English",,Astrology,Occultism,,107,,,,Astrology -- Early works to 1800.; Ephemerides -- Early works to 1800.,TRUE,FALSE
A00755,A00755.headed.txt,99841328,5903,STC 10881; ESTC S105601,S105601,Free,"Fioravanti, Leonardo, 1518-1588.; Hester, John, d. 1593.",,,,,1580,,"A short discours of the excellent doctour and knight, maister Leonardo Phiorauanti Bolognese vppon chirurgerie VVith a declaration of many thinges, necessarie to be knowne, neuer written before in this order: whervnto is added a number of notable secretes, found out by the saide author. Translated out of Italyan into English, by Iohn Hester, practicioner in the arte of distillation.; Cirugia. English",,Med-General Treatise,,,144,,,,Medicine -- Early works to 1800.,TRUE,FALSE
A00756,A00756.headed.txt,99849469,14618,STC 10882; ESTC S114243,S114243,Restricted,"Fioravanti, Leonardo, 1518-1588.; Hester, John, d. 1593.",,,,,1626,,"A discourse vpon chyrurgery: written by that famous doctour and knight, Signior Leonardo Phiorauanti, Bolognese. VVith a declaration of many wonderfull matters necessary to be knowne; with most notable secret found out by the said authour. Translated out of Italian by Iohn Hester, and now newly published and augmented, for the benefite of this country: by Richard Booth, Gent; Cirugia. English",,Anatomical/Surgical,,,128,,,,Medicine -- Early works to 1800.,TRUE,FALSE
A01014,A01014.headed.txt,99838161,2524,STC 11120; ESTC S102376,S102376,Free,"Fludd, Robert, 1574-1637.",,,,,1631,,"Doctor Fludds answer vnto MÂ· Foster or, The squeesing of Parson Fosters sponge, ordained by him for the wiping away of the weapon-salue VVherein the sponge-bearers immodest carriage and behauiour towards his bretheren is detected ...; Doctor Fludds answer unto M. Foster.",,Med-Specific Treatise,Occultism,,230,,Treatments,Occultism,"Foster, William, 1591-1643. -- Hoplocrisma spongus -- Controversial literature -- Early works to 1800.; Medicine, Magic, mystic, and spagiric -- Early works to 1800.",TRUE,TRUE
A01017,A01017.headed.txt,99838238,2605,STC 11123; ESTC S102453,S102453,Free,"Folkingham, W. (William)",,,,,1610,,"Feudigraphia The synopsis or epitome of surueying methodized. Anatomizing the whole corps of the facultie; viz. The materiall, mathematicall, mechanicall and legall parts, intimating all the incidents to fees and possessions, and whatsoeuer may be comprized vnder their matter, forme, proprietie, and valuation. Very pertinent to be perused of all those, whom the right, reuenewe, estimation, farming, occupation, manurance, subduing, preparing and imploying of arable, medow, pasture, and all other plots doe concerne. And no lesse remarkable for all vnder-takers in the plantation of Ireland or Virginia ... Composed in a compendious digest by W. Folkingham. G.",,Mathematics,,,98,,Practical,,Surveying -- Early works to 1800.; Agriculture -- Early works to 1800.,TRUE,FALSE
A01019,A01019.headed.txt,99853677,19071,STC 11125; ESTC S118470,S118470,Restricted,"Folkingham, W. (William)",,,,,1628,,Panala medica vel sanitatis et longÃ_vitatis alumna catholica: = The fruitfull and frugall nourse of sound health and long life. Per Guil: Folkingham Gen: Math. & Med. studiosum.,,Med-Specific Treatise,,,148,,Substances,,Ale -- Early works to 1800.; Medicine -- Early works to 1800.,TRUE,FALSE
A01043,A01043.headed.txt,99848915,14037,STC 1115; ESTC S113684,S113684,Free,"Bacon, Francis, 1561-1626.",,,,,1625,,"Apophthegmes new and old. Collected by the Right Honourable, Francis Lo. Verulam, Viscount St. Alban",,Philosophy of Science,Baconian,,310,,,,Anecdotes -- Early works to 1800.; Aphorisms and apothegms -- Early works to 1800.,TRUE,FALSE
A01073,A01073.headed.txt,99848356,13444,STC 11185; ESTC S113117,S113117,Free,"Forman, Simon, 1552-1611.",,,,,1591,,"The groundes of the longitude with an admonition to all those that are incredulous and beleeue not the trueth of the same. VVritten by Simon Forman, student in Astronomie and Phisique. 1591.",,Navigation,,,16,,,,Longitude -- Early works to 1800.,TRUE,FALSE
A01089,A01089.headed.txt,99838255,2628,STC 11201; ESTC S102472,S102472,Free,"Foster, Samuel, d. 1652.",,,,,1638,,"The art of dialling by a new, easie, and most speedy way. Shewing, how to describe the houre-lines upon all sorts of plaines, howsoever, or in what latitude soever scituated: as also, to find the suns azimuth, whereby the sight of any plaine is examined. Performed by a quadrant, fitted with lines necessary to the purpose. Invented and published by Samuel Foster, professor of astronomie in Gresham Colledge.",,Mathematics,Royal Society,,55,,Instruments,Instruments,Dialing -- Early works to 1800.; Quadrant -- Early works to 1800.,TRUE,TRUE
A01091,A01091.headed.txt,99838259,2632,STC 11203; ESTC S102476,S102476,Free,"Foster, William, 1591-1643.",,,,,1631,,"Hoplocrisma-spongus: or, A sponge to vvipe avvay the weapon-salve A treatise, wherein is proved, that the cure late-taken up amongst us, by applying the salve to the weapon, is magicall and unlawfull By William Foster Mr. of Arts, and parson of Hedgley in the county of Buckingham.; Hoplocrisma-spongus.",,Med-Specific Treatise,Occultism,,74,,Treatments,,"Medicine, Magic, mystic, and spagiric -- Early works to 1800.",TRUE,FALSE
