TCP,ESTC,text_name,Title,Title 30 Char or fewer,Author,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Verse/Prose/Mixed,Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Status,Notes
A00024,S118662,A00024.headed.txt,"Peace with her foure garders. Viz. fiue morall meditations: of concord, chastitie, constancie. Courtesie. Grauitie. Eschew euill, and doe good, seeke peace and ensue it.",FiveMoralMeditations,"Aylett, Robert, 1583-1655?",8�,,1622,London :,"Printed [by G. Purslowe] for Iohn Teage, and are to be sold at his shop in Pauls Church-yard at the signe of the Ball,",verse,IR,INST,Free,
A00033,S846,A00033.headed.txt,"Aduertisments partly for due order in the publique administration of common prayers and vsinge the holy sacramentes, and partly for the apparrell of all persons ecclesiasticall by vertue of the Queenes Maiesties letters commaunding the same, the xxv. day",AdvertisementForDueOrder,,4�,,1569,Imprinted at London :,"By Reginalde Wolfe,",prose,STA,STA,Free,
A00102,S850,A00102.headed.txt,"Iniunctions geven by the Quenes Maiestie anno Domini MD.LIX., the fyrst yeare of the raigne of our Soueraigne Lady Quene Elizabeth.",InjunctionsByQueenElizabeth,England and Wales. Sovereign (1558-1603 : Elizabeth I)|Elizabeth 1533-1603.,4�,,1559,[London] :,"Imprinted at London in Poules church yarde by Richard Iugge and Iohn Cawood ...,",prose,STA,STA,Free,
A00198,S101624,A00198.headed.txt,Articles to be enquired of in the generall visitation of Edmonde Bisshoppe of London exercised by him the yeare of oure Lorde. 1.5.5.4. in the citie and diocese of London ...|Visitation articles. 1554|Visitation articles. 1554.,VisitationArticlesBishopLondon,"Church of England. Diocese of London. Bishop (1539-1549, 1553-1559 : Bonner)|Bonner, Edmund, 1500?-1569.",4�,,1554,[Excusum Londini :,"In �dibus Iohannis Cawodi typographi Regi� Maiestatis,",prose,STA,STA,Free,"should religious decrees as well as legal decrees be considered ""STA"" in this period? -- Katie thinks so"
A00235,S113442,A00235.headed.txt,"A new song, called Jacke Doues resolution by which he doth show, that he cares not a rush how ere the world goe. To the tune of, To driue the cold winter away.|Jacke Doves resolution|Jacke Doves resolution|New song, called Jacke Doves resolution.",JackDovesResolutionANewSong,"G. B., fl. 1592-1597.",1�,single-sided,1635,Printed at London :,"for Iohn Wright and are to be sold at his shop in Giltspur-street at the signe of the Bible,",verse,NN,NARR,Free,
A00275,S111870,A00275.headed.txt,"To my faythfull Brethren now affycted,  to all those that vnfaynedly loue the Lorde Jesus, the Lorde guyde vs with his holy spret, that we maye always serue hym bothe in body and mynde in all synceryte to oure lyues ende.",LordGuideUsToServeHim,"Whittingham, William, d. 1579,",8�,,1566,[Emden :,"E. van der Erve,",prose,IR,ARG,Free,"title should read ""afflycted"" (l is missing in this spreadsheet)"
A00320,S101675,A00320.headed.txt,Bellum Erasmi� Translated into englyshe.|Adagia. Chil. IV Cent. I. English|Adagia. Chil. IV Cent. I.,ErasmusAgainstWar,"Erasmus, Desiderius, d. 1536.",8�,,1534,Londini :,"In aedibus Tho. Bertheleti,",prose,EX,ARG,Free,
A00329,S118122,A00329.headed.txt,"[Ye dyaloge called Funus].|Colloquia. Selections|Colloquia. Selections.|Good and a godly admonicion or warnynge, very behouefull for euery chrysten man to loke upon.|Good and a godly admonicion or warnynge, very behovefull for every chrysten man to loke u",ErasmusWritings,"Erasmus, Desiderius, d. 1536.",8�,,1534,[At London :,"By Robert copland, [sic] for Iohan Byddell, otherwyse Salysbury. the .v. daye of Ianuary, and be for to sell lat ye sygne of our lady of pyte nexte to flete brydge,",prose,IS or IR?,INST,Free,"leaning toward IR - emphasis on ""godliness"" and addressed to Christian audience"
A00331,S111331,A00331.headed.txt,"A dialoge or communication of two persons deuysyd and set forthe in the late[n] tonge, by the noble and famose clarke. Desiderius Erasmus intituled [the] pylgremage of pure deuotyon. Newly tra[n]slatyd into Englishe.|Colloquia. English. Selections|Colloqu",PilgrimageOfPureDevotion,"Erasmus, Desiderius, d. 1536.",8�,,1540,[London? :,"n.p.,",prose,IR,INST,Free,
A00338,S113434,A00338.headed.txt,"A very pleasaunt [and] fruitful diologe called the Epicure, made by that famous clerke Erasmus of Roterodame, newly translated. 1545.|Colloquia. English. Selections|Colloquia.|Epicure.",TheEpicureADialogByErasmus,"Erasmus, Desiderius, d. 1536.|Gerrard, Philip,",8�,,1545,[Imprinted at London :,"VVithin the precinct of the late dissolued house of the gray Friers, by Richarde Grafton, printer too the princes grace,",prose,IR,INST,Free,
