ngram,corpus frequency,document frequency,rank in corpus
the,341319,666,1
and,329914,666,2
to,286466,666,3
of,215630,666,4
you,201155,665,5
my,176926,666,6
is,156437,666,7
in,152090,666,8
that,149427,666,9
it,133926,666,10
not,114530,666,11
your,112367,666,12
for,109425,666,13
me,108604,664,14
will,105203,666,15
be,103635,666,16
with,95856,666,17
but,95606,665,18
have,91795,666,19
this,87521,666,20
his,79066,665,21
he,78989,663,22
as,78262,666,23
so,67601,666,24
her,65497,662,25
all,65029,666,26
what,63414,666,27
shall,57062,664,28
him,56867,665,29
are,55564,663,30
do,54833,666,31
thou,53864,655,32
no,52702,666,33
by,52050,666,34
we,50355,666,35
then,49678,665,36
if,48293,663,37
thy,47544,659,38
now,45963,665,39
sir,45684,616,40
or,40831,665,41
our,39768,662,42
they,39501,666,43
she,37337,659,44
on,35596,666,45
at,35307,665,46
would,34984,661,47
from,34529,665,48
their,34026,663,49
which,33046,665,50
thee,32871,643,51
may,32094,666,52
was,32081,664,53
am,31949,658,54
love,31366,659,55
has,30613,664,56
more,30565,665,57
how,30043,662,58
good,29844,664,59
there,28878,665,60
here,28182,665,61
can,28059,663,62
yet,28053,666,63
come,27917,665,64
let,27660,662,65
when,27633,665,66
must,27252,661,67
one,25613,664,68
see,25392,659,69
well,25154,661,70
had,24653,665,71
know,24628,659,72
make,24549,665,73
should,24530,663,74
us,24110,659,75
such,23846,661,76
were,23344,663,77
man,23026,661,78
them,22409,664,79
an,22032,665,80
like,21639,664,81
upon,21565,661,82
too,21081,628,83
self,21071,659,84
some,20605,658,85
these,20278,664,86
did,20091,658,87
lord,19132,606,88
why,18937,652,89
out,18898,664,90
take,18112,659,91
where,17504,663,92
never,17192,662,93
say,16745,648,94
go,16712,652,95
does,16597,662,96
ye,16271,532,97
who,16155,662,98
think,15862,650,99
much,15665,657,100
give,15624,657,101
any,15457,662,102
up,15126,659,103
nor,14546,656,104
great,13544,662,105
time,13436,661,106
life,13324,646,107
own,13264,658,108
most,13137,651,109
tell,13106,648,110
heart,13060,647,111
thus,12648,657,112
mine,12369,636,113
could,12163,646,114
made,12150,662,115
though,11765,655,116
men,11762,653,117
death,11292,620,118
those,11233,654,119
into,11199,655,120
cannot,11191,633,121
speak,11091,640,122
king,11024,526,123
ever,11004,655,124
art,10983,648,125
first,10862,658,126
still,10806,658,127
pray,10633,629,128
unto,10631,621,129
before,10585,658,130
both,10548,659,131
again,10497,650,132
oh,10340,542,133
fair,10184,643,134
lady,10098,570,135
other,10077,662,136
nay,9934,620,137
only,9917,651,138
leave,9891,645,139
hear,9795,639,140
father,9701,607,141
honor,9683,632,142
been,9599,651,143
fear,9466,644,144
hand,9326,653,145
look,9320,642,146
day,9291,658,147
whose,9241,647,148
sweet,9123,634,149
way,8927,651,150
true,8871,648,151
find,8870,647,152
name,8831,642,153
heaven,8808,631,154
away,8788,649,155
long,8649,660,156
world,8595,650,157
done,8499,644,158
live,8478,643,159
two,8400,651,160
master,8399,585,161
might,8348,644,162
very,8330,632,163
nothing,8256,648,164
since,8218,639,165
hope,8216,636,166
blood,8034,614,167
whom,7942,646,168
old,7880,635,169
eyes,7823,638,170
poor,7813,635,171
faith,7794,608,172
best,7750,650,173
ha,7747,486,174
being,7740,637,175
soul,7673,612,176
without,7654,650,177
god,7644,544,178
till,7638,637,179
better,7585,639,180
sure,7563,639,181
son,7460,567,182
many,7422,652,183
yes,7322,584,184
little,7322,640,184
down,7290,648,185
thing,7244,640,186
keep,7176,649,187
every,7116,654,188
wife,6960,589,189
against,6958,639,190
place,6792,652,191
friend,6786,610,192
night,6764,625,193
madam,6663,421,194
call,6575,640,195
gods,6501,531,196
none,6452,641,197
brother,6435,516,198
noble,6433,585,199
part,6426,644,200
stay,6383,626,201
once,6377,623,202
stand,6331,633,203
else,6311,632,204
thought,6286,633,205
cause,6238,643,206
put,6186,641,207
house,6079,603,208
hold,6031,624,209
about,5989,650,210
mind,5965,631,211
bring,5861,648,212
woman,5837,591,213
head,5820,645,214
off,5791,588,215
power,5713,618,216
even,5709,611,217
dear,5679,620,218
please,5677,634,219
comes,5623,632,220
another,5613,626,221
mistress,5590,529,222
full,5574,641,223
set,5562,630,224
face,5556,623,225
dare,5542,611,226
show,5523,647,227
use,5513,643,228
enough,5511,616,229
dead,5454,594,230
court,5452,574,231
grace,5436,595,232
young,5419,601,233
therefore,5410,623,234
prince,5407,455,235
after,5375,648,236
than,5311,348,237
right,5182,636,238
words,5152,621,239
fortune,5138,581,240
indeed,5125,558,241
things,5110,633,242
far,5102,632,243
friends,5070,600,244
mean,5054,637,245
fall,5045,634,246
last,5016,641,247
gentleman,5014,486,248
while,5010,612,249
em,4981,281,250
through,4977,628,251
gone,4970,618,252
rest,4966,645,253
new,4959,632,254
ere,4955,583,255
within,4939,636,256
makes,4918,637,257
same,4875,629,258
bear,4865,629,259
peace,4829,626,260
himself,4817,614,261
nature,4805,594,262
word,4798,613,263
lost,4768,613,264
help,4611,626,265
thoughts,4582,569,266
body,4576,621,267
state,4565,593,268
end,4553,623,269
daughter,4532,494,270
care,4481,626,271
believe,4468,589,272
rather,4463,626,273
came,4462,625,274
welcome,4461,588,275
hands,4385,619,276
mother,4327,555,277
virtue,4321,605,278
because,4301,612,279
said,4292,611,280
earth,4289,602,281
means,4277,604,282
husband,4245,509,283
gentlemen,4237,456,284
queen,4234,463,285
left,4221,621,286
get,4216,589,287
truth,4202,603,288
honest,4199,550,289
light,4188,624,290
meet,4125,603,291
home,4125,599,291
reason,4105,595,292
alas,4099,584,293
die,4070,521,294
